team1,team2,toss_winner,toss_decision,venue,venue_win_rate,team1_recent_form,team2_recent_form,team1_win
8,6,8,0,14,0.7142857142857143,0.8,0.4,0
8,13,8,0,9,0.8,0.6,0.4,1
0,1,0,0,9,0.6666666666666666,0.4,0.6,1
1,13,1,0,9,0.0,0.8,0.4,0
0,8,0,0,9,0.6666666666666666,0.6,0.6,1
0,6,0,0,27,0.7666666666666667,0.6,0.4,1
1,11,11,1,43,0.16666666666666666,0.6,0.4,0
5,13,5,0,34,0.5,0.5,0.4,0
2,8,2,0,16,0.3939393939393939,0.8,0.6,0
10,9,10,0,9,0.0,0.0,0.5,0
6,1,6,0,14,0.4878048780487805,0.4,0.6,1
2,11,2,0,47,0.0,0.6,0.4,0
13,8,8,1,23,0.41935483870967744,0.4,0.6,0
0,10,10,1,41,0.5,0.6,0.6,0
5,9,5,0,9,0.0,0.0,1.0,0
1,13,13,1,43,0.16666666666666666,0.4,0.6,1
11,6,6,1,47,0.5,0.6,0.4,0
8,5,5,1,56,0.6111111111111112,0.8,0.5,0
0,13,0,0,27,0.7666666666666667,0.6,0.4,1
1,10,10,1,43,0.16666666666666666,0.6,0.8,0
9,2,2,1,9,0.0,0.5,0.19999999999999996,0
11,6,6,1,14,0.0,0.4,0.6,0
0,5,5,1,34,0.0,0.8,1.0,0
1,2,1,0,16,0.6666666666666666,0.4,0.4,1
9,8,9,0,56,0.5,0.0,0.6,0
5,6,6,1,14,1.0,0.0,0.8,1
10,11,11,1,41,0.4444444444444444,0.0,0.6,1
8,0,0,1,56,0.6111111111111112,0.6,0.6,1
6,13,13,1,14,0.4878048780487805,0.4,0.4,0
2,10,10,1,16,0.3939393939393939,0.4,1.0,1
8,1,1,1,43,0.5,0.6,0.6,1
5,11,11,1,47,0.0,0.3333333333333333,0.6,0
0,9,9,1,27,0.7666666666666667,0.6,1.0,1
2,13,13,1,16,0.3939393939393939,0.4,0.6,0
9,0,9,0,9,0.0,0.0,0.6,0
1,5,5,1,34,1.0,0.4,1.0,1
6,2,2,1,16,1.0,0.4,0.4,1
8,11,11,1,47,0.2,0.6,0.6,0
13,9,9,1,23,0.41935483870967744,0.2,0.6666666666666667,1
2,5,2,0,34,1.0,0.2,0.6666666666666667,1
10,6,6,1,14,0.16666666666666666,0.2,0.6,0
9,11,11,1,47,0.0,0.0,0.8,0
0,1,0,0,27,0.7666666666666667,0.6,0.4,1
8,10,10,1,56,0.6111111111111112,0.6,0.8,1
2,5,5,1,16,0.3939393939393939,0.4,0.5,0
6,1,1,1,43,0.6666666666666666,0.4,0.19999999999999996,1
11,0,11,0,27,0.25,0.2,0.8,0
8,9,9,1,9,0.8,0.6,0.5,1
5,6,6,1,34,0.5,0.25,0.6,1
1,2,2,1,43,0.16666666666666666,0.6,0.4,0
13,10,10,1,23,0.41935483870967744,0.4,0.6,1
0,6,0,0,14,0.2,0.6,0.6,0
8,2,2,1,56,0.6111111111111112,0.8,0.4,1
5,13,5,0,23,0.0,0.4,0.6,0
10,9,10,0,41,0.4444444444444444,0.2,0.4,0
0,11,11,1,47,0.25,0.6,0.8,1
1,9,1,0,43,0.16666666666666666,0.6,0.4,0
10,8,8,1,41,0.4444444444444444,0.2,0.6,1
11,13,13,1,47,0.5,0.0,0.6,0
0,2,0,0,27,0.7666666666666667,0.6,0.4,1
5,10,10,1,20,0.0,0.4,0.4,0
6,13,13,1,23,0.2857142857142857,0.6,0.8,0
1,8,1,0,56,0.5,0.4,0.6,1
10,2,2,1,18,0.5714285714285714,0.4,0.19999999999999996,1
11,5,5,1,20,0.0,0.0,0.6,0
9,1,1,1,9,0.0,0.0,0.0,0
10,13,10,0,18,0.5714285714285714,0.6,1.0,1
0,5,0,0,27,0.7666666666666667,0.8,0.6,1
9,6,6,1,9,0.0,0.0,0.6,0
8,11,8,0,56,0.6111111111111112,0.8,0.6,0
1,10,10,1,18,1.0,0.6,0.4,1
0,13,13,1,23,0.75,0.8,0.8,0
6,8,8,1,14,0.4878048780487805,0.6,0.6,0
13,0,0,1,56,0.2,0.4,0.8,0
6,8,8,1,56,0.16666666666666666,0.4,0.6,0
13,8,8,1,27,0.4,0.4,0.6,1
0,13,0,0,27,0.7666666666666667,0.6,0.8,1
0,8,8,1,27,0.7666666666666667,0.8,0.4,0
6,2,2,1,14,0.4878048780487805,0.4,0.19999999999999996,0
9,8,8,1,56,0.5,0.0,0.6,1
11,10,10,1,47,0.5,0.0,0.19999999999999996,1
13,2,2,1,23,0.41935483870967744,0.6,0.4,1
0,1,1,1,11,1.0,0.6,0.19999999999999996,1
11,6,6,1,47,0.5,0.2,0.6,1
9,10,9,0,53,0.3333333333333333,0.2,0.19999999999999996,1
1,8,1,0,11,0.0,0.6,0.6,0
6,13,13,1,23,0.2857142857142857,0.2,0.6,1
0,2,2,1,16,0.6666666666666666,0.6,0.19999999999999996,0
8,11,11,1,56,0.6111111111111112,0.6,0.8,1
13,0,13,0,27,0.4,0.8,0.8,0
9,10,10,1,41,0.0,0.4,0.19999999999999996,0
11,6,11,0,14,0.0,0.4,0.6,0
1,2,1,0,16,0.6666666666666666,0.4,0.4,0
0,9,0,0,53,0.5,0.4,0.4,0
10,6,6,1,14,0.16666666666666666,0.6,0.6,1
11,13,11,0,23,0.3333333333333333,0.4,0.4,1
8,2,2,1,56,0.6111111111111112,0.8,0.6,0
1,11,1,0,47,0.0,0.4,0.6,0
9,13,9,0,23,0.0,0.4,0.19999999999999996,0
10,6,10,0,41,0.4444444444444444,0.8,0.6,0
1,2,1,0,43,0.16666666666666666,0.4,0.8,0
0,9,9,1,27,0.7666666666666667,0.4,0.6,1
10,13,13,1,41,0.4444444444444444,0.8,0.4,0
11,0,11,0,27,0.25,0.6,0.8,0
9,2,2,1,16,1.0,0.4,0.8,1
8,10,8,0,56,0.6111111111111112,0.6,0.4,0
1,6,6,1,2,0.75,0.2,0.6,0
13,11,11,1,47,0.3333333333333333,0.6,0.6,1
9,2,9,0,53,0.3333333333333333,0.6,0.8,0
10,8,10,0,41,0.4444444444444444,0.6,0.6,0
1,9,1,0,53,1.0,0.0,0.6,1
2,8,8,1,16,0.3939393939393939,0.4,0.6,1
10,0,10,0,27,1.0,0.4,1.0,1
6,13,6,0,14,0.4878048780487805,0.2,0.4,1
2,11,2,0,16,0.3939393939393939,0.6,0.4,1
1,8,8,1,56,0.5,0.2,0.6,0
0,6,0,0,27,0.7666666666666667,0.4,0.6,0
